TIF Number,TIF District,Report Year,Vendor Name,Vendor Service,Payment
T-013,Bryn Mawr/Broadway,2017,City Staff Costs,Administration,34888
T-129,Diversey/Narragansett,2017,City Staff Costs,Administration,34398
T-129,Diversey/Narragansett,2018,City Staff Costs,Administration,34389
T-074,Clark/Ridge,2018,City Staff Costs,Administration,34217
T-058,Portage Park,2017,City Staff Costs,Administration,33224
T-013,Bryn Mawr/Broadway,2018,City Staff Costs,Administration,32713
T-075,Madison/Austin Corridor,2018,City Staff Costs,Administration,32553
T-131,35th/State,2018,City Staff Costs,Administration,31605
T-075,Madison/Austin Corridor,2017,City Staff Costs,Administration,30240
T-062,Roosevelt/Racine,2017,City Staff Costs,Administration,30230
T-098,63rd/Pulaski,2018,City Staff Costs,Administration,28513
T-062,Roosevelt/Racine,2018,City Staff Costs,Administration,28463
T-072,24th/Michigan,2017,City Staff Costs,Administration,28382
T-127,87th/Cottage Grove,2017,City Staff Costs,Administration,27781
T-139,Ravenswood Corridor,2018,City Staff Costs,Administration,27417
T-127,87th/Cottage Grove,2018,City Staff Costs,Administration,26494
T-029,Michigan/Cermak,2017,City Staff Costs,Administration,26175
T-029,Michigan/Cermak,2018,City Staff Costs,Administration,25875
T-045,Stockyards Southeast Quadrant Industrial,2017,City Staff Costs,Administration,25740
T-098,63rd/Pulaski,2017,City Staff Costs,Administration,25595
T-139,Ravenswood Corridor,2017,City Staff Costs,Administration,25501
T-043,Stockyards Annex,2018,City Staff Costs,Administration,24816
T-045,Stockyards Southeast Quadrant Industrial,2018,City Staff Costs,Administration,24368
T-035,North/Cicero,2017,City Staff Costs,Administration,24156
T-035,North/Cicero,2018,City Staff Costs,Administration,23142
T-043,Stockyards Annex,2017,City Staff Costs,Administration,23127
T-136,47th/State,2017,City Staff Costs,Administration,22396
T-116,Lawrence/Pulaski,2018,City Staff Costs,Administration,22253
T-134,Devon/Sheridan,2018,City Staff Costs,Administration,22240
T-114,119th/Halsted,2017,City Staff Costs,Administration,21796
T-136,47th/State,2018,City Staff Costs,Administration,21526
T-112,79th/Southwest Highway,2018,City Staff Costs,Administration,21415
T-116,Lawrence/Pulaski,2017,City Staff Costs,Administration,21370
T-147,LaSalle Central,2018,City Program Management Costs,Administration,21009.59
T-126,Madden/Wells,2018,City Staff Costs,Administration,20943
T-133,83rd/Stewart,2017,City Staff Costs,Administration,20844
T-091,Peterson/Pulaski,2018,City Staff Costs,Administration,20834
T-093,South Chicago,2017,City Staff Costs,Administration,20640
T-112,79th/Southwest Highway,2017,City Staff Costs,Administration,20413
T-091,Peterson/Pulaski,2017,City Staff Costs,Administration,20409
T-107,Division/Homan,2017,City Staff Costs,Administration,19875
T-093,South Chicago,2018,City Staff Costs,Administration,19797
T-126,Madden/Wells,2017,City Staff Costs,Administration,19637
T-107,Division/Homan,2018,City Staff Costs,Administration,19281
T-111,105th/Vincennes,2017,City Staff Costs,Administration,19134
T-128,Commercial Avenue,2018,City Staff Costs,Administration,18997
T-147,LaSalle Central,2017,City Program Management Costs,Administration,18750.65
T-114,119th/Halsted,2018,City Staff Costs,Administration,18644
T-057,Jefferson Park,2018,City Staff Costs,Administration,18132
T-166,North Pullman,2017,City Staff Costs,Administration,17954
T-130,Edgewater/Ashland,2017,City Staff Costs,Administration,17934
T-010,126th/Torrence,2017,City Staff Costs,Administration,17735
T-166,North Pullman,2018,City Staff Costs,Administration,17425
T-133,83rd/Stewart,2018,City Staff Costs,Administration,17394
T-175,51st/Lake Park,2018,City Staff Costs,Administration,17151
T-083,West Irving Park,2018,City Staff Costs,Administration,16924
T-082,Belmont/Cicero,2018,City Staff Costs,Administration,16787
T-128,Commercial Avenue,2017,City Staff Costs,Administration,16694
T-143,63rd/Ashland,2018,City Staff Costs,Administration,16077
T-082,Belmont/Cicero,2017,City Staff Costs,Administration,15916
T-079,35th/Wallace,2017,City Staff Costs,Administration,15736
T-079,35th/Wallace,2018,City Staff Costs,Administration,15680
T-143,63rd/Ashland,2017,City Staff Costs,Administration,15529
T-057,Jefferson Park,2017,City Staff Costs,Administration,15457
T-066,Greater Southwest Industrial (East),2018,City Staff Costs,Administration,15435
T-009,95th/Western,2018,City Staff Costs,Administration,15234
T-142,Western/Rock Island,2018,City Staff Costs,Administration,15095
T-052,Kinzie Industrial Corridor,2017,City Program Management Costs,Administration,15008
T-083,West Irving Park,2017,City Staff Costs,Administration,14650
T-111,105th/Vincennes,2018,City Staff Costs,Administration,14568
T-030,Near North,2017,City Program Management Costs,Administration,14448
T-156,Austin Commercial,2018,City Staff Costs,Administration,14249
T-009,95th/Western,2017,City Staff Costs,Administration,13985
T-141,26th/King Drive,2017,City Staff Costs,Administration,13953
T-056,79th Street Corridor,2017,City Staff Costs,Administration,13725
T-052,Kinzie Industrial Corridor,2018,City Program Management Costs,Administration,13192
T-063,Canal/Congress,2017,City Program Management Costs,Administration,12905
T-056,79th Street Corridor,2018,City Staff Costs,Administration,12754
T-158,Weed/Fremont,2017,City Staff Costs,Administration,12709
T-037,River South,2017,City Program Management Costs,Administration,12611
T-156,Austin Commercial,2017,City Staff Costs,Administration,12277
T-158,Weed/Fremont,2018,City Staff Costs,Administration,12166
T-021,Englewood Mall,2018,City Staff Costs,Administration,12129
T-141,26th/King Drive,2018,City Staff Costs,Administration,12048
T-094,Chicago/Kingsbury,2017,City Program Management Costs,Administration,11820
T-178,Washington Park,2018,City Staff Costs,Administration,11788
T-024,Homan/Arthington,2018,City Staff Costs,Administration,11699
T-097,51st/Archer,2017,City Staff Costs,Administration,11568
T-030,Near North,2018,City Program Management Costs,Administration,11341
T-073,111th/Kedzie,2018,City Staff Costs,Administration,11322
T-176,107th/Halsted,2017,City Staff Costs,Administration,11270
T-096,Cicero/Archer,2017,City Staff Costs,Administration,10947
T-142,Western/Rock Island,2017,City Staff Costs,Administration,10887
T-063,Canal/Congress,2018,City Program Management Costs,Administration,10857
T-096,Cicero/Archer,2018,City Staff Costs,Administration,10651
T-042,Sanitary and Ship Canal,2017,City Staff Costs,Administration,10419
T-097,51st/Archer,2018,City Staff Costs,Administration,10405
T-042,Sanitary and Ship Canal,2018,City Staff Costs,Administration,10038
T-094,Chicago/Kingsbury,2018,City Program Management Costs,Administration,10026
T-143,63rd/Ashland,2018,Delta Demolition,Demolition,137000
T-037,River South,2018,Chicago Board of Education,Development,30644306.53
T-037,River South,2017,Chicago Board of Education,Development,22691693.83
T-086,Central West,2018,Rush University Medical Center,Development,15000000
T-013,Bryn Mawr/Broadway,2018,Chicago Transit Authority,Development,10000000
T-063,Canal/Congress,2018,601 W Companies  Chicago,Development,9000000
T-068,Roosevelt/Union,2018,Board of Trustees University of Illinois,Development,5181308.22
T-118,47th/King Drive,2017,Rosenwald Court Apartments,Development,5000000
T-110,Wilson Yard,2017,"Wilson Yard Development I, LLC",Development,4990516.59
T-110,Wilson Yard,2018,"Wilson Yard Development I, LLC",Development,4931524.96
T-072,24th/Michigan,2017,Chicago Board of Education,Development,4662859
T-095,Midwest,2017,Sinai Health System,Development,4500000
T-052,Kinzie Industrial Corridor,2018,The Hatchery,Development,3586114
T-126,Madden/Wells,2018,The John D. and Catherine T. MacArthur Foundation,Development,3503440.5
T-062,Roosevelt/Racine,2018,Taylor Street Library & Apartments,Development,3500000
T-147,LaSalle Central,2018,United Air Lines Inc.,Development,3045378.78
T-147,LaSalle Central,2017,United Air Lines Inc.,Development,3045378.78
T-030,Near North,2017,ClyDiv LLC,Development,3037500
T-058,Portage Park,2017,Chicago Board of Education,Development,2852792
T-118,47th/King Drive,2018,PGS Bronzeville III LP,Development,2837458
T-030,Near North,2017,Chicago Board of Education,Development,2725224.53
T-095,Midwest,2018,East Park Redevelopment LP,Development,2606087.5
T-149,Stevenson Brighton,2017,Chicago Board of Education,Development,2400000
T-084,Western Avenue North,2017,Chicago Board of Education,Development,2297537.45
T-105,53rd Street,2017,CJUF III Harper Court LLC,Development,2271123.27
T-105,53rd Street,2018,CJUF III Harper Court LLC,Development,2261435.77
T-048,Western/Ogden,2017,Casa Queretaro LP,Development,2186040
T-149,Stevenson Brighton,2018,Chicago Board of Education,Development,2162718.65
T-030,Near North,2017,Parkside Phase IIB LP,Development,2142808.2
T-142,Western/Rock Island,2018,Chicago Park District,Development,2114496
T-086,Central West,2018,McCrory Senior Apartments,Development,2050000
T-082,Belmont/Cicero,2017,Cicero & George LP,Development,2000000
T-125,119th/I-57,2018,"Primestor 119, LLC",Development,1900515.63
T-100,Ohio/Wabash,2018,Allstate Insurance Company,Development,1829557.37
T-063,Canal/Congress,2018,Hillshire Brands Co.,Development,1750000
T-108,Humboldt Park Commercial,2018,La Casa Norte,Development,1750000
T-125,119th/I-57,2017,"Primestor 119, LLC",Development,1726633.45
T-010,126th/Torrence,2017,Chicago Manufacturing Campus LLC,Development,1704516.97
T-100,Ohio/Wabash,2017,Allstate Insurance Company,Development,1683599
T-086,Central West,2018,The John D. and Catherine T. MacArthur Foundation,Development,1634637.5
T-129,Diversey/Narragansett,2018,Amalgamated Bank of Chicago,Development,1605575.91
T-178,Washington Park,2018,Brin Life Center,Development,1587500
T-131,35th/State,2018,Townsend Chicago LLC,Development,1508159.16
T-142,Western/Rock Island,2017,Chicago Park District,Development,1500000
T-129,Diversey/Narragansett,2017,Amalgamated Bank of Chicago,Development,1393014.79
T-105,53rd Street,2018,Smart Hotels/Olympia Chicago,Development,1383778.93
T-096,Cicero/Archer,2017,Midway Pointe LLC,Development,1320000
T-055,43rd/Cottage Grove,2018,TCB Development Services LLC,Development,1263330.84
T-055,43rd/Cottage Grove,2017,TCB Development Services LLC,Development,1263330.84
T-131,35th/State,2017,Townsend Chicago LLC,Development,1253779.42
T-133,83rd/Stewart,2018,W2005 CMK Realty LLC,Development,1247372.98
T-110,Wilson Yard,2018,Board of Trustees of Community College District 508,Development,1135659.57
T-110,Wilson Yard,2017,Board of Trustees of Community College District 508,Development,1135659.57
T-115,Chicago/Central Park,2017,Nelson Mandela LP,Development,1134600
T-063,Canal/Congress,2017,USG Corp.,Development,1120583.23
T-052,Kinzie Industrial Corridor,2018,Nelson Mandela LP,Development,1077088.94
T-169,Ewing Avenue,2017,Chicago Board of Education,Development,1043272.65
T-024,Homan/Arthington,2018,Uhlich Children's Advantage Network,Development,1000000
T-161,Ogden/Pulaski,2018,Montclare Lawndale SLF,Development,1000000
T-063,Canal/Congress,2017,Hillshire Brands Co.,Development,1000000
T-065,Woodlawn,2017,Historic Strand LP,Development,1000000
T-149,Stevenson Brighton,2017,Pulaski Promenade,Development,1000000
T-054,Stony Island Commercial/Burnside Industrial,2018,A. Finkl & Sons,Development,968881.15
T-062,Roosevelt/Racine,2018,"RS Homes I, LLC",Development,943569.5
T-133,83rd/Stewart,2017,W2005 CMK Realty LLC,Development,943484.58
T-177,Foster/California,2017,Swedish Covenent Hospital,Development,926666
T-104,River West,2017,Metramarket of Chicago,Development,925941.5
T-104,River West,2018,Metramarket of Chicago,Development,923500
T-030,Near North,2018,ClyDiv LLC,Development,910910.17
T-037,River South,2018,Chicago Park District,Development,909547.9
T-115,Chicago/Central Park,2018,Nelson Mandela LP,Development,906412.06
T-030,Near North,2018,Parkside Nine Phase II,Development,885900.51
T-062,Roosevelt/Racine,2017,"RS Homes I, LLC",Development,876235.36
T-070,Clark/Montrose,2017,The Black Ensemble Theater,Development,870778.78
T-111,105th/Vincennes,2018,MGM/TGI 105th Street LLC,Development,856113.82
T-052,Kinzie Industrial Corridor,2017,Nelson Mandela LP,Development,848901
T-118,47th/King Drive,2018,Urban Juncture,Development,800000
T-023,Goose Island,2018,Wm. Wrigley Jr. Co.,Development,778890.16
T-048,Western/Ogden,2018,A Safe Haven Foundation,Development,755634.13
T-048,Western/Ogden,2017,A Safe Haven Foundation,Development,755634.13
T-030,Near North,2017,Parkside Nine Phase II,Development,749554.82
T-158,Weed/Fremont,2018,Grossinger City Autocorp Inc.,Development,732043.36
T-141,26th/King Drive,2018,Mercy Hospital and Medical Center,Development,727103
T-117,47th/Ashland,2017,Goldblatt's of Chicago,Development,725000
T-115,Chicago/Central Park,2017,Breakthrough Urban Ministries Inc.,Development,714323.09
T-023,Goose Island,2017,Wm. Wrigley Jr. Co.,Development,707017.8
T-053,Pilsen Industrial Corridor,2018,Chicago Board of Education,Development,698893.55
T-070,Clark/Montrose,2018,The Black Ensemble Theater,Development,685131.78
T-096,Cicero/Archer,2018,Midway Pointe LLC,Development,680000
T-158,Weed/Fremont,2017,Grossinger City Autocorp Inc.,Development,649595.51
T-141,26th/King Drive,2017,Mercy Hospital and Medical Center,Development,642241.87
T-074,Clark/Ridge,2018,Ravenswood Partners of Illinois,Development,635875
T-074,Clark/Ridge,2017,Ravenswood Partners of Illinois,Development,635875
T-083,West Irving Park,2018,Chicago Park District,Development,628043.85
T-150,Addison South,2018,GX Chicago LLC,Development,624411.3
T-030,Near North,2018,Chicago Park District,Development,615428
T-166,North Pullman,2018,Pullman Park Development,Development,607059.5
T-150,Addison South,2017,GX Chicago LLC,Development,598413.5
T-166,North Pullman,2017,Pullman Park Development,Development,578052
T-157,Hollywood/Sheridan,2018,Hollywood House Limited,Development,575824.12
T-066,Greater Southwest Industrial (East),2018,Gateway Park LLC,Development,553136.6
T-084,Western Avenue North,2018,Chicago Park District,Development,552098.86
T-077,Lincoln Avenue,2017,Chicago Park District,Development,550509.84
T-121,47th/Halsted,2018,Chicago Park District,Development,550000
T-095,Midwest,2017,Maple Jack LLC,Development,535500
T-072,24th/Michigan,2018,Chicago Board of Education,Development,527700
T-095,Midwest,2018,Harvest Homes Apartments,Development,519772
T-095,Midwest,2017,Harvest Homes Apartments,Development,519772
T-053,Pilsen Industrial Corridor,2018,Target Corp.,Development,505651.13
T-087,Fullerton/Milwaukee,2018,Footwear Factory Development Corp.,Development,502947.5
T-087,Fullerton/Milwaukee,2017,Footwear Factory Development Corp.,Development,502754.5
T-048,Western/Ogden,2017,Chicago Board of Education,Development,500000
T-104,River West,2018,Jewel Food Stores,Development,488006.23
T-104,River West,2017,Jewel Food Stores,Development,484509.74
T-140,79th/Cicero,2018,Scottsdale Center  LLC,Development,480923.82
T-166,North Pullman,2018,Chicago Neighborhood Initiatives,Development,473320
T-172,Randolph/Wells,2018,Randolph Tower City Apartments,Development,460344
T-053,Pilsen Industrial Corridor,2017,Target Corp.,Development,459201.61
T-172,Randolph/Wells,2017,Randolph Tower City Apartments,Development,458000
T-105,53rd Street,2017,Smart Hotels,Development,446532.19
T-140,79th/Cicero,2017,Scottsdale Center LLC,Development,444423.17
T-010,126th/Torrence,2017,Ford Motor Company,Development,372895.55
T-054,Stony Island Commercial/Burnside Industrial,2017,Greenwood on 87th LLC,Development,370851.68
T-131,35th/State,2018,Park Boulevard LLC,Development,368340.49
T-131,35th/State,2017,Park Boulevard LLC,Development,368301.08
T-177,Foster/California,2018,Swedish Covenant Hospital,Development,366666
T-086,Central West,2018,Chicago Park District,Development,347928.81
T-071,Galewood/Armitage Industrial,2017,Chicago Park District,Development,343272.37
T-157,Hollywood/Sheridan,2017,Hollywood House Limited,Development,338934.7
T-108,Humboldt Park Commercial,2018,North & Talman Elderly Limited Partnership,Development,334086
T-108,Humboldt Park Commercial,2017,North & Talman Elderly Limited Partnership,Development,334086
T-108,Humboldt Park Commercial,2018,Resurrection University,Development,333416.86
T-108,Humboldt Park Commercial,2017,Resurrection University,Development,333416.86
T-107,Division/Homan,2018,Chicago Park District,Development,325000
T-115,Chicago/Central Park,2018,Chicago Board of Education,Development,323462.14
T-095,Midwest,2018,Maple Jack LLC,Development,303304.16
T-052,Kinzie Industrial Corridor,2018,Peppercorn 240 LLC,Development,300925.9
T-099,Archer/Central,2018,"Archer Advisors, LLC and 5829 Archer Development LLC Jointly and Severally",Development,300000
T-099,Archer/Central,2017,"Archer Advisors, LLC and 5829 Archer Development LLC Jointly and Severally",Development,300000
T-144,Harrison/Central,2018,Loretto Hospital,Development,288000
T-144,Harrison/Central,2017,Loretto Hospital,Development,288000
T-071,Galewood/Armitage Industrial,2018,Chicago Park District,Development,285155.05
T-126,Madden/Wells,2017,The John D. and Catherine T. MacArthur Foundation,Development,276911.4
T-150,Addison South,2017,Coyote Logistics LLC,Development,273917.31
T-085,Western Avenue South,2017,Chicago Board of Education,Development,270771.78
T-001,35th/Halsted,2018,ACRE Development LLC,Development,264729.92
T-110,Wilson Yard,2018,Chicago Community Development Corp,Development,263338.26
T-110,Wilson Yard,2017,Chicago Community Development,Development,263338.26
T-150,Addison South,2018,Coyote Logistics LLC,Development,261597.32
T-078,South Works Industrial,2018,Chicago Park District,Development,260351.84
T-084,Western Avenue North,2018,4800 N. Damen LLC,Development,254012.75
T-114,119th/Halsted,2017,Preferred-Halsted LLC,Development,250000
T-116,Lawrence/Pulaski,2017,Chicago Park District,Development,250000
T-166,North Pullman,2017,Chicago Neighborhood Initiatives,Development,233186
T-121,47th/Halsted,2017,Chicago Board of Education,Development,228684.53
T-084,Western Avenue North,2017,4800 N. Damen LLC,Development,228219.2
T-117,47th/Ashland,2018,Bishop Plaza LLC,Development,226210.34
T-101,Jefferson/Roosevelt,2018,Home Depot USA,Development,225289.58
T-001,35th/Halsted,2017,ACRE Development LLC,Development,219553.82
T-013,Bryn Mawr/Broadway,2018,Holsten Development,Development,216182
T-117,47th/Ashland,2017,Bishop Plaza LLC,Development,213500.33
T-101,Jefferson/Roosevelt,2017,Home Depot USA,Development,200725.31
T-085,Western Avenue South,2018,Chicago Park District,Development,200000
T-087,Fullerton/Milwaukee,2018,2650 Milwaukee LLC,Development,200000
T-118,47th/King Drive,2017,Chicago Park District,Development,200000
T-119,Lakefront,2018,Lakefront Associates,Development,193167.58
T-126,Madden/Wells,2017,Oakwood Shores Phase 2A,Development,191243.53
T-030,Near North,2018,Chicago Board of Education,Development,188316.23
T-119,Lakefront,2017,Lakefront Associates,Development,186685.97
T-124,67th/Cicero,2018,SL Midway LLC,Development,185275.3
T-175,51st/Lake Park,2018,1525 HP LLC,Development,184442.31
T-086,Central West,2017,950 W. Monroe St. Development LLC,Development,179053.24
T-143,63rd/Ashland,2017,Chicago Board of Education,Development,172352.29
T-126,Madden/Wells,2017,Madden Wells Phase 1B,Development,170537.6
T-124,67th/Cicero,2017,SL Midway LLC,Development,169510.06
T-004,49th/St. Lawrence,2018,Willard Square Limited Partnership,Development,168402.17
T-002,"Forty-First Street and Dr. Martin Luther King, Jr. Drive",2018,Paul G. Stewart Apartments Associates,Development,167581.95
T-048,Western/Ogden,2017,American Red Cross,Development,166666
T-055,43rd/Cottage Grove,2018,Mahogany Chicago 47 LLC,Development,159438.72
T-055,43rd/Cottage Grove,2017,Mahogany Chicago 47 LLC,Development,159438.72
T-072,24th/Michigan,2018,BSB Holdings LLC,Development,157000
T-072,24th/Michigan,2017,BSB Holdings LLC,Development,157000
T-064,Northwest Industrial Corridor,2018,MLRP Merlin LLC,Development,155065.3
T-060,71st/Stony Island,2018,Montclare Senior Residences of Avalon Park Phase I LLC,Development,145324.74
T-086,Central West,2017,The John D. and Catherine T. MacArthur Foundation,Development,138737.48
T-102,Montclare,2018,"Montclare Senior Residences Phase II, LP",Development,128512.55
T-081,Belmont/Central,2017,Chicago Board of Education,Development,121737.67
T-083,West Irving Park,2017,Chicago Board of Education,Development,121737.67
T-073,111th/Kedzie,2018,Gendall Partners-Mt Greenwood LLC,Development,121653.4
T-073,111th/Kedzie,2017,Gendall Partners-Mt Greenwood LLC,Development,121277.22
T-102,Montclare,2017,"Montclare Senior Residences Phase II, LP",Development,117388.35
T-052,Kinzie Industrial Corridor,2017,Chicago Board of Education,Development,115471.79
T-067,Archer Courts,2018,"Community Housing Partners V, LP",Development,108921
T-067,Archer Courts,2017,"Community Housing Partners V, LP",Development,108483.36
T-095,Midwest,2017,The Private Bank,Development,103376.59
T-052,Kinzie Industrial Corridor,2017,Peppercorn 240 LLC,Development,103149.34
T-053,Pilsen Industrial Corridor,2017,Chicago Park District,Development,101246.52
T-083,West Irving Park,2017,Chicago Park District,Development,96154.19
T-053,Pilsen Industrial Corridor,2018,Chicago Park District,Development,94974.06
T-109,Lawrence/Broadway,2018,Gunnison St. Lofts LLC,Development,94468.88
T-084,Western Avenue North,2017,Chicago Park District,Development,93732
T-027,Irving/Cicero,2017,Chicago Klee Development LLC,Development,93668.13
T-095,Midwest,2018,Liberty Square Apartments,Development,93165.65
T-054,Stony Island Commercial/Burnside Industrial,2018,Chicago Park District,Development,93000
T-095,Midwest,2018,Private Bank,Development,90986.91
T-142,Western/Rock Island,2018,Western Partners LLC,Development,90000
T-142,Western/Rock Island,2018,CPMOK Properties LLC,Development,87500
T-142,Western/Rock Island,2017,CPMOK Properties LLC,Development,87500
T-109,Lawrence/Broadway,2017,Gunnison Lofts LLC,Development,87282
T-109,Lawrence/Broadway,2017,Theus Property Holdings,Development,82117.56
T-094,Chicago/Kingsbury,2017,Chicago Park District,Development,72443.99
T-102,Montclare,2018,"Montclare Senior Residences Phase I, LP",Development,71204.98
T-064,Northwest Industrial Corridor,2017,MLRP Merlin LLC,Development,67890
